Tanggal,Jam,Pasut,WS2M,WD2M,datetime,Pasut_lag1,Pasut_lag2,Pasut_lag3,Pasut_lag6,WS2M_lag1,WS2M_lag2,WS2M_lag3,WD_rad,u,v,u_lag1,v_lag1,u_lag2,v_lag2,hour,hour_sin,hour_cos
8/1/2024,6:00,1.9,0.54,125.8,2024-08-01 06:00:00,2.2,2.4,2.6,2.3,0.59,0.55,0.5,2.1956241990088667,-0.3158771444930964,0.43797446225423636,-0.3451250282424571,0.47852765320370266,-0.3217267212429686,0.44608510044412963,6,1.0,6.123233995736766e-17
8/1/2024,7:00,1.8,0.37,125.8,2024-08-01 07:00:00,1.9,2.2,2.4,2.6,0.54,0.59,0.55,2.1956241990088667,-0.21643433974526974,0.3000936130260508,-0.3158771444930964,0.43797446225423636,-0.3451250282424571,0.47852765320370266,7,0.9659258262890683,-0.25881904510252063
8/1/2024,8:00,1.7,0.35,110.0,2024-08-01 08:00:00,1.8,1.9,2.2,2.7,0.37,0.54,0.59,1.9198621771937625,-0.11970705016398404,0.3288924172750679,-0.21643433974526974,0.3000936130260508,-0.3158771444930964,0.43797446225423636,8,0.8660254037844387,-0.4999999999999998
8/1/2024,9:00,1.8,0.32,111.8,2024-08-01 09:00:00,1.7,1.8,1.9,2.6,0.35,0.37,0.54,1.9512781037296605,-0.11883770737607514,0.2971154646018923,-0.11970705016398404,0.3288924172750679,-0.21643433974526974,0.3000936130260508,9,0.7071067811865476,-0.7071067811865475
8/1/2024,10:00,2.0,0.25,115.6,2024-08-01 10:00:00,1.8,1.7,1.8,2.4,0.32,0.35,0.37,2.0176006153054447,-0.1080214372004955,0.22545813160127848,-0.11883770737607514,0.2971154646018923,-0.11970705016398404,0.3288924172750679,10,0.49999999999999994,-0.8660254037844387
8/1/2024,11:00,2.1,0.17,125.5,2024-08-01 11:00:00,2.0,1.8,1.7,2.2,0.25,0.32,0.35,2.1903882112528836,-0.09871950247085977,0.1383996381205743,-0.1080214372004955,0.22545813160127848,-0.11883770737607514,0.2971154646018923,11,0.258819045102521,-0.9659258262890682
8/1/2024,12:00,2.2,0.18,135.0,2024-08-01 12:00:00,2.1,2.0,1.8,1.9,0.17,0.25,0.32,2.356194490192345,-0.12727922061357855,0.12727922061357855,-0.09871950247085977,0.1383996381205743,-0.1080214372004955,0.22545813160127848,12,1.2246467991473532e-16,-1.0
8/1/2024,13:00,2.2,0.21,142.6,2024-08-01 13:00:00,2.2,2.1,2.0,1.8,0.18,0.17,0.25,2.4888395133439136,-0.16682707031243776,0.12754892634189027,-0.12727922061357855,0.12727922061357855,-0.09871950247085977,0.1383996381205743,13,-0.2588190451025208,-0.9659258262890683
8/1/2024,14:00,2.0,0.25,148.2,2024-08-01 14:00:00,2.2,2.2,2.1,1.7,0.21,0.18,0.17,2.586577951455596,-0.21247317324671594,0.13173894887416943,-0.16682707031243776,0.12754892634189027,-0.12727922061357855,0.12727922061357855,14,-0.4999999999999997,-0.8660254037844388
8/1/2024,15:00,1.6,0.29,153.4,2024-08-01 15:00:00,2.0,2.2,2.2,1.8,0.25,0.21,0.18,2.6773350725593015,-0.25930472868341675,0.12985013547324323,-0.21247317324671594,0.13173894887416943,-0.16682707031243776,0.12754892634189027,15,-0.7071067811865471,-0.7071067811865479
